Time,Distance
0,53
1,55
2,56
3,56
4,55
5,55
6,55
7,58
8,55
9,55
10,56
11,55
12,55
13,55
14,55
15,55
16,55
17,55
18,55
19,56
20,55
21,56
22,58
23,56
24,56
25,56
26,56
27,55
28,56
29,55
30,55
31,56
32,56
33,58
34,56
35,56
36,56
37,55
38,53
39,53
40,54
41,54
42,55
43,53
44,54
45,53
46,52
47,53
48,53
49,53
50,56
51,55
52,53
53,53
54,54
55,53
56,55
57,56
58,56
59,56
60,55
61,56
62,54
63,49
64,55
65,55
66,55
67,54
68,56
69,55
70,55
71,55
72,55
73,55
74,54
75,54
76,50
77,55
78,55
79,56
80,55
81,55
82,55
83,55
84,56
85,57
86,55
87,56
88,55
89,55
90,55
91,55
92,54
93,56
94,56
95,55
96,55
97,54
98,55
99,66
100,55
101,56
102,55
103,55
104,55
105,55
106,55
107,55
108,55
109,56
110,56
111,55
112,55
113,56
114,56
115,55
116,59
117,55
118,57
119,56
120,59
121,56
122,57
123,56
124,55
125,55
126,59
127,56
128,55
129,55
130,56
131,55
132,56
133,54
134,54
135,30
137,56
138,51
139,35
140,60
141,54
142,55
143,54
144,55
145,56
146,49
147,52
148,54
149,57
150,56
151,57
152,56
153,57
154,57
155,56
156,56
157,56
158,57
159,57
160,59
161,57
162,57
163,57
164,56
165,56
166,56
167,57
168,59
169,57
170,56
171,57
172,58
173,57
174,57
175,58
176,57
177,57
178,56
179,56
180,56
181,56
182,57
183,57
184,56
185,57
186,56
187,56
188,56
189,57
190,56
191,56
192,56
193,57
194,57
195,57
196,56
197,56
198,55
199,56
200,55
201,56
202,54
203,51
204,53
205,56
207,56
208,56
209,56
210,56
211,56
212,56
213,56
214,56
215,56
216,56
217,56
218,56
219,56
220,57
221,57
222,56
223,57
224,57
225,57
226,56
227,56
228,56
229,57
230,57
231,57
232,49
233,57
234,56
235,57
236,56
237,60
238,56
239,56
240,57
241,57
242,57
243,60
244,57
245,56
246,56
247,56
248,56
249,56
250,57
251,56
252,58
253,56
254,56
255,56
256,56
257,56
258,56
259,56
260,57
261,56
262,56
263,56
264,55
265,55
266,56
267,56
268,56
269,56
270,55
271,55
272,55
273,55
274,55
275,55
276,55
277,54
278,55
279,54
280,55
281,56
282,55
283,54
284,54
285,57
286,56
287,56
288,58
289,56
290,56
291,57
292,57
293,57
294,57
295,56
296,57
297,60
298,61
299,62
300,56
301,56
302,56
303,56
304,56
305,57
306,57
307,57
308,57
309,56
310,55
311,49
313,56
314,56
315,50
316,51
317,49
318,51
319,53
320,51
321,50
322,51
323,51
324,51
325,51
326,52
327,53
328,54
329,53
330,53
331,53
332,53
333,54
334,54
335,54
336,54
337,54
338,55
339,55
340,54
341,59
342,56
343,56
344,56
345,54
346,54
347,54
348,54
349,54
350,55
351,54
352,53
353,53
354,53
355,54
356,53
357,53
358,53
359,53
360,53
361,54
362,54
363,54
364,54
365,54
366,54
367,54
368,53
369,53
370,54
371,54
372,53
373,53
374,53
375,54
376,54
377,54
378,54
379,55
380,55
381,55
382,57
383,54
384,54
385,54
386,54
387,55
388,54
389,55
390,55
391,55
392,55
393,54
394,55
395,53
396,53
397,54
398,53
399,54
400,54
401,54
402,54
403,53
404,53
405,54
406,54
407,54
408,54
409,54
410,54
411,54
412,54
413,54
414,55
415,53
416,54
417,53
418,53
419,54
420,54
421,54
422,54
423,54
424,55
425,55
426,55
427,55
428,54
429,54
430,54
431,55
432,54
433,53
434,53
435,53
436,53
437,53
438,53
439,53
440,53
441,53
442,54
443,54
444,54
445,54
446,53
447,53
449,53
450,54
451,54
452,54
453,54
454,54
455,55
456,55
457,54
458,54
459,54
460,54
461,55
462,55
463,54
464,53
465,54
466,53
467,54
468,53
469,53
470,54
471,54
472,54
473,54
474,55
475,55
476,55
477,55
478,55
479,55
480,56
481,55
482,55
483,54
484,55
485,54
486,53
487,54
488,55
489,55
490,54
491,56
492,55
493,54
494,54
495,55
496,55
497,55
498,54
499,54
500,54
501,54
502,55
503,55
504,55
505,55
506,55
507,55
508,55
509,55
510,55
511,55
512,56
513,56
514,54
515,55
516,54
517,55
518,55
519,55
520,55
521,55
522,56
523,55
524,54
525,55
526,55
527,55
528,55
529,56
530,55
531,55
532,55
533,54
534,55
535,55
536,55
537,55
538,56
539,54
540,56
541,61
542,62
543,56
544,54
545,54
546,55
547,55
548,55
549,55
550,55
551,55
552,56
553,55
554,55
555,55
556,55
557,56
558,54
559,37
560,57
561,55
562,62
563,56
564,55
565,55
566,55
567,54
568,55
569,55
570,57
571,56
572,56
573,55
574,54
575,54
576,54
577,55
578,54
579,55
580,55
581,55
582,55
583,55
584,55
585,56
587,56
588,56
589,55
590,55
591,55
592,56
593,55
594,55
595,54
596,55
597,59
598,54
599,61
600,57
601,55
602,56
603,56
604,56
605,56
606,57
607,56
608,56
609,55
610,56
611,56
612,56
613,57
614,56
615,56
616,56
617,56
618,56
619,56
620,57
621,56
622,57
623,55
624,58
625,55
626,56
627,56
628,56
629,56
630,55
631,55
632,55
633,57
634,58
635,55
636,55
637,55
638,55
639,55
640,55
641,56
642,56
643,55
644,54
645,55
646,56
647,56
648,54
649,55
650,55
651,56
652,56
653,55
654,54
655,55
656,51
657,53
658,53
659,53
660,53
661,53
662,51
663,51
664,51
665,53
666,52
667,52
668,53
669,51
670,52
671,52
672,53
673,53
674,53
675,54
676,54
677,54
678,54
679,54
680,54
681,55
682,54
683,55
684,55
685,55
686,55
687,55
688,56
689,56
690,55
691,55
692,55
693,56
694,55
695,54
696,55
697,58
698,55
699,55
700,55
701,55
702,56
703,55
704,55
705,54
706,55
707,55
708,55
709,55
710,55
711,55
712,55
713,56
714,55
715,55
716,54
717,55
718,54
719,55
720,55
721,55
722,54
723,55
724,55
725,54
726,54
727,55
728,55
729,55
730,55
731,55
732,55
733,55
734,55
735,56
736,55
737,55
738,55
739,55
740,54
741,53
742,62
743,61
744,63
745,61
746,60
747,61
748,60
749,62
750,60
751,60
752,61
753,60
754,61
755,61
756,60
757,50
759,58
760,63
761,60
762,60
763,61
764,61
765,62
766,61
767,61
768,62
769,62
770,60
771,61
772,61
773,60
774,62
775,62
776,64
777,62
778,62
779,60
780,60
781,60
782,60
783,60
784,61
785,60
786,61
787,61
788,61
789,61
790,62
791,62
792,62
793,62
794,60
795,62
796,63
797,63
798,64
799,61
800,62
801,63
802,61
803,63
804,62
805,62
806,61
807,67
808,66
809,64
810,64
811,64
812,65
813,66
814,64
815,66
816,66
817,66
818,65
819,68
820,65
821,65
822,64
823,64
824,64
825,64
826,64
827,65
828,66
829,66
830,65
831,64
832,66
833,66
834,66
835,67
836,66
837,66
838,66
839,66
840,66
841,66
842,62
843,61
844,61
845,61
846,61
847,61
848,61
849,61
850,62
851,62
852,62
853,61
854,64
855,63
856,62
857,66
858,64
859,62
860,60
861,62
862,60
863,56
864,63
865,62
866,63
867,62
868,62
869,61
870,63
871,64
872,67
873,62
874,62
875,60
876,61
877,61
878,62
879,67
880,64
881,64
882,63
883,63
884,64
885,63
886,64
887,63
888,64
889,58
890,57
891,56
892,58
893,57
894,56
895,57
896,59
897,57
898,57
899,58
900,56
901,57
902,57
903,56
904,57
905,56
906,56
907,56
908,56
909,56
910,57
911,58
912,57
913,58
914,58
915,58
916,63
917,62
918,63
920,64
921,63
922,63
923,62
924,63
925,63
926,64
927,63
928,61
929,57
930,57
931,56
932,55
933,57
934,57
935,57
936,56
937,57
938,57
939,57
940,57
941,57
942,57
943,57
944,57
945,57
946,57
947,57
948,57
949,57
950,57
951,57
952,58
953,58
954,56
955,58
956,60
957,63
958,61
959,61
960,61
961,62
962,64
963,63
964,62
965,64
966,64
967,62
968,64
969,65
970,62
971,63
972,63
973,63
974,61
975,61
976,62
977,60
978,59
979,59
980,59
981,59
982,59
983,59
984,58
985,58
986,59
987,59
988,60
989,56
990,55
991,57
992,51
993,58
994,59
995,60
996,59
997,62
998,68
999,61
1000,60
1001,60
1002,61
1003,61
1004,65
1005,62
1006,62
1007,60
1008,60
1009,60
1010,60
1011,60
1012,60
1013,61
1014,61
1015,68
1016,61
1017,61
1018,61
1019,66
1020,63
1021,64
1022,63
1023,60
1024,62
1025,61
1026,61
1027,61
1028,61
1029,60
1030,62
1031,60
1032,60
1033,59
1034,59
1035,60
1036,60
1037,60
1038,60
1039,60
1040,59
1041,62
1042,60
1043,56
1044,59
1045,55
1046,56
1047,63
1048,58
1049,60
1050,59
1051,60
1052,60
1053,63
1054,66
1055,66
1056,66
1057,56
1058,61
1059,59
1060,60
1061,58
1062,59
1063,58
1064,58
1065,57
1066,58
1067,58
1068,59
1069,65
1070,57
1071,58
1072,58
1073,58
1074,58
1075,58
1076,60
1077,58
1078,57
1079,59
1080,58
1081,58
1083,60
1084,57
1085,57
1086,57
1087,57
1088,57
1089,57
1090,58
1091,57
1092,58
1093,58
1094,58
1095,58
1096,57
1097,58
1098,57
1099,57
1100,58
1101,58
1102,60
1103,58
1104,64
1105,58
1106,58
1107,58
1108,58
1109,58
1110,58
1111,58
1112,58
1113,58
1114,58
1115,58
1116,58
1117,57
1118,58
1119,58
1120,57
1121,58
1122,56
1123,60
1124,52
1125,51
1126,52
1127,52
1128,52
1129,53
1130,53
1131,51
1132,52
1133,53
1134,52
1135,52
1136,52
1137,53
1138,53
1139,53
1140,53
1141,53
1142,53
1143,53
1144,53
1145,53
1146,54
1147,54
1148,55
1149,55
1150,55
1151,54
1152,54
1153,54
1154,54
1155,53
1156,54
1157,55
1158,55
1159,54
1160,54
1161,53
1162,54
1163,54
1164,54
1165,54
1166,53
1167,53
1168,54
1169,53
1170,54
1171,54
1172,55
1173,55
1174,55
1175,54
1176,55
1177,55
1178,53
1179,54
1180,54
1181,53
1182,55
1183,54
1184,54
1185,54
1186,54
1187,54
1188,55
1189,63
1190,62
1191,59
1192,58
1193,58
1194,60
1195,65
1196,64
1197,64
1198,64
1199,62
1200,59
